iter	Passed	Remaining
0	0	61
1	1	56
2	1	53
3	2	48
4	2	48
5	3	47
6	3	47
7	4	46
8	4	46
9	5	48
10	6	48
11	6	50
12	7	50
13	8	50
14	8	49
15	9	49
16	9	48
17	10	47
18	10	46
19	11	45
20	11	44
21	12	43
22	12	42
23	13	41
24	13	41
25	14	40
26	14	39
27	15	38
28	15	38
29	16	37
30	16	36
31	17	36
32	17	35
33	18	35
34	18	34
35	19	33
36	19	33
37	19	32
38	20	32
39	20	31
40	21	30
41	21	29
42	22	29
43	22	28
44	23	28
45	23	27
46	23	27
47	24	26
48	24	25
49	25	25
50	25	24
51	26	24
52	26	23
53	27	23
54	27	22
55	27	21
56	28	21
57	28	20
58	29	20
59	29	19
60	30	19
61	31	19
62	31	18
63	32	18
64	33	17
65	33	17
66	34	16
67	34	16
68	35	15
69	35	15
70	36	14
71	36	14
72	37	13
73	37	13
74	38	12
75	38	12
76	39	11
77	39	11
78	40	10
79	40	10
80	41	9
81	41	9
82	42	8
83	42	8
84	43	7
85	43	7
86	44	6
87	44	6
88	44	5
89	45	5
90	45	4
91	46	4
92	46	3
93	47	3
94	47	2
95	48	2
96	48	1
97	48	0
98	49	0
99	49	0
