iter	Passed	Remaining
0	78	78375
1	79	39515
2	79	26511
3	80	20081
4	81	16175
5	81	13557
6	82	11687
7	82	10283
8	83	9190
9	83	8312
10	84	7603
11	85	7020
12	85	6522
13	86	6099
14	87	5729
15	88	5418
16	88	5133
17	89	4880
18	90	4651
19	90	4438
20	91	4246
21	91	4073
22	92	3917
23	92	3780
24	93	3646
25	94	3524
26	94	3409
27	95	3301
28	95	3201
29	96	3112
30	96	3027
31	97	2946
32	97	2869
33	98	2797
34	98	2727
35	99	2663
36	100	2606
37	100	2551
38	101	2495
39	101	2442
40	102	2392
41	103	2351
42	103	2309
43	104	2266
44	104	2225
45	105	2184
46	105	2145
47	106	2107
48	106	2073
49	107	2040
50	107	2009
51	108	1979
52	109	1949
53	109	1919
54	110	1891
55	110	1866
56	111	1841
57	111	1816
58	112	1792
59	112	1768
60	113	1744
61	113	1721
62	114	1700
63	115	1682
64	115	1663
65	116	1645
66	116	1627
67	117	1611
68	118	1595
69	118	1578
70	119	1561
71	119	1543
72	120	1527
73	120	1512
74	121	1497
75	122	1483
76	122	1470
77	123	1456
78	123	1441
79	124	1428
80	124	1415
81	125	1405
82	125	1390
83	126	1380
84	127	1368
85	127	1356
86	128	1344
87	128	1332
88	128	1320
89	129	1309
90	130	1299
91	130	1288
92	130	1277
93	131	1266
94	131	1256
95	132	1245
96	132	1235
97	133	1225
98	133	1216
99	134	1208
100	134	1200
101	135	1193
102	136	1185
103	136	1177
104	137	1170
105	138	1164
106	138	1156
107	139	1149
108	139	1141
109	140	1132
110	140	1124
111	140	1117
112	141	1109
113	141	1102
114	142	1094
115	142	1088
116	143	1081
117	143	1074
118	144	1067
119	144	1061
120	145	1054
121	145	1047
122	145	1040
123	146	1034
124	146	1027
125	147	1021
126	147	1014
127	148	1008
128	148	1002
129	148	996
130	149	991
131	149	985
132	150	979
133	150	974
134	151	969
135	151	964
136	152	959
137	152	955
138	153	950
139	153	945
140	154	940
141	154	934
142	155	930
143	155	925
144	156	921
145	157	918
146	157	914
147	158	910
148	158	906
149	159	902
150	159	898
151	160	894
152	160	891
153	161	887
154	162	883
155	162	880
156	163	877
157	164	874
158	164	870
159	164	866
160	165	861
161	165	858
162	166	856
163	167	853
164	167	849
165	168	846
166	168	842
167	169	839
168	170	836
169	170	834
170	171	831
171	172	828
172	172	825
173	173	821
174	173	817
175	173	814
176	174	811
177	174	807
178	175	804
179	175	801
180	176	797
181	176	794
182	177	791
183	177	788
184	178	785
185	178	781
186	179	778
187	179	775
188	179	772
189	180	769
190	180	766
191	181	764
192	182	761
193	182	759
194	183	757
195	184	754
196	184	752
197	185	749
198	185	746
199	185	743
200	186	741
201	186	738
202	187	735
203	187	732
204	188	730
205	188	727
206	189	725
207	189	722
208	190	720
209	190	717
210	191	714
211	191	712
212	192	709
213	192	706
214	192	704
215	193	701
216	193	699
217	194	696
218	194	694
219	195	691
220	195	689
221	196	687
222	196	684
223	196	682
224	197	680
225	197	678
226	198	676
227	199	674
228	199	672
229	200	670
230	200	668
231	201	667
232	202	665
233	202	663
234	203	661
235	203	660
236	204	658
237	205	656
238	205	654
239	206	653
240	206	651
241	207	649
242	208	647
243	208	646
244	209	644
245	209	642
246	210	641
247	210	639
248	211	637
249	211	635
250	212	633
251	212	631
252	213	629
253	213	628
254	214	626
255	214	624
256	215	623
257	216	621
258	216	619
259	217	618
260	217	616
261	218	614
262	218	612
263	218	610
264	219	608
265	219	606
266	220	605
267	220	603
268	221	602
269	222	600
270	222	598
271	223	597
272	223	595
273	224	593
274	224	592
275	225	590
276	225	588
277	226	587
278	226	585
279	226	583
280	227	582
281	228	580
282	228	579
283	229	577
284	229	575
285	229	574
286	230	572
287	230	571
288	231	569
289	231	567
290	232	566
291	232	564
292	233	562
293	233	561
294	234	559
295	234	557
296	235	556
297	235	555
298	236	554
299	237	553
300	238	553
301	238	552
302	239	550
303	240	549
304	240	548
305	241	547
306	241	545
307	242	544
308	242	543
309	243	542
310	244	540
311	244	539
312	245	538
313	245	536
314	246	535
315	246	534
316	247	533
317	248	532
318	248	530
319	249	529
320	249	527
321	250	526
322	250	525
323	251	524
324	251	523
325	252	522
326	253	521
327	253	520
328	254	518
329	254	517
330	255	516
331	256	515
332	256	513
333	257	512
334	257	511
335	258	510
336	258	509
337	259	507
338	259	506
339	260	505
340	260	503
341	261	502
342	261	501
343	262	500
344	262	498
345	263	497
346	263	496
347	264	494
348	264	493
349	264	492
350	265	490
351	266	489
352	266	488
353	267	487
354	267	486
355	268	485
356	268	483
357	269	482
358	269	481
359	269	479
360	270	478
361	270	477
362	271	476
363	271	474
364	272	473
365	272	472
366	273	471
